temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),ET₀ (mm),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),shortwave_radiation_instant (W/m²),crop,Kc,ETc (mm),soil_deficit,irrigation_need,irrigation_amount,month,quarter
31.84166666666667,55.583333333333336,0.5,5.01,4.0874999999999995,28.11666666666667,0.17612499999999998,5792.1,Maize,0.35,1.7534999999999998,1.2534999999999998,True,1.3373749999999998,6,2
30.983333333333334,63.625,1.8,5.24,7.55,28.2375,0.17600000000000002,5835.2,Maize,0.35,1.8339999999999999,0.03399999999999981,True,0.1179999999999998,6,2
32.52916666666667,54.0,0.0,5.63,5.708333333333333,28.383333333333336,0.1785,6085.3,Maize,0.35,1.9705,1.9705,True,2.052,6,2
32.887499999999996,57.25,0.2,5.91,7.7749999999999995,28.575,0.18337499999999998,6124.3,Maize,0.35,2.0685,1.8684999999999998,True,1.9451249999999998,6,2
32.0875,63.416666666666664,0.5,5.58,9.666666666666666,28.775000000000002,0.18379166666666666,5748.8,Maize,0.35,1.9529999999999998,1.4529999999999998,True,1.5292083333333333,6,2
31.079166666666666,73.91666666666667,12.3,5.02,10.683333333333332,28.924999999999997,0.18341666666666667,5477.5,Maize,0.35,1.7569999999999997,-10.543000000000001,True,0.0,6,2
31.220833333333335,69.04166666666667,1.2,5.8,14.0,29.041666666666668,0.184875,5874.6,Maize,0.35,2.03,0.8299999999999998,True,0.9051249999999998,6,2
30.28333333333333,72.83333333333333,10.499999999999998,4.52,11.908333333333333,29.1125,0.18800000000000003,4591.599999999999,Maize,0.35,1.5819999999999999,-8.918,True,0.0,6,2
28.71666666666667,78.0,6.2,4.55,14.275,29.183333333333334,0.18899999999999997,5036.9,Maize,0.35,1.5924999999999998,-4.6075,True,0.0,6,2
28.125,77.25,0.1,3.7,5.6625000000000005,28.96666666666667,0.19308333333333336,4457.8,Maize,0.35,1.295,1.1949999999999998,True,1.2619166666666666,6,2
28.745833333333334,76.375,3.4,4.65,7.1499999999999995,28.962500000000002,0.20462499999999997,5786.5,Maize,0.35,1.6275,-1.7725,True,0.0,6,2
29.445833333333336,75.875,0.7000000000000001,4.7,6.733333333333333,29.104166666666668,0.21104166666666666,5764.5,Maize,0.35,1.645,0.945,True,0.9939583333333333,6,2
28.1875,81.29166666666667,4.0,4.36,6.7124999999999995,29.004166666666666,0.211,5633.400000000001,Maize,0.35,1.526,-2.474,True,0.0,6,2
28.84166666666667,76.20833333333333,0.30000000000000004,4.79,8.020833333333334,28.899999999999995,0.2145,5830.6,Maize,0.35,1.6764999999999999,1.3764999999999998,True,1.422,6,2
28.9875,75.04166666666667,0.9,4.83,6.208333333333333,28.825,0.217,6106.8,Maize,0.4,1.9320000000000002,1.032,True,1.075,7,3
29.766666666666666,73.54166666666667,0.5,5.14,6.55,28.8,0.217,6233.4,Maize,0.4,2.056,1.556,True,1.599,7,3
30.995833333333334,71.83333333333333,16.799999999999997,5.140000000000001,8.154166666666667,28.84166666666667,0.21666666666666667,5921.9,Maize,0.4,2.0560000000000005,-14.743999999999996,True,0.0,7,3
29.462500000000002,75.95833333333333,13.8,4.88,11.579166666666666,28.899999999999995,0.21862499999999999,5655.3,Maize,0.4,1.952,-11.848,True,0.0,7,3
26.0,89.16666666666667,17.599999999999998,1.6600000000000001,8.804166666666667,28.741666666666664,0.223375,1928.5,Maize,0.4,0.6640000000000001,-16.935999999999996,True,0.0,7,3
27.329166666666666,83.20833333333333,5.1,4.45,6.2124999999999995,28.416666666666668,0.23408333333333334,5711.8,Maize,0.4,1.7800000000000002,-3.3199999999999994,True,0.0,7,3
28.395833333333332,78.25,0.8,3.73,6.5625,28.233333333333334,0.23954166666666665,4667.8,Maize,0.4,1.492,0.692,True,0.7124583333333333,7,3
25.441666666666666,90.04166666666667,85.9,1.31,11.179166666666667,28.05,0.255875,1513.9,Maize,0.4,0.524,-85.376,True,0.0,7,3
25.675,87.33333333333333,44.3,1.85,13.75,27.675,0.3097083333333333,2071.9,Maize,0.4,0.7400000000000001,-43.559999999999995,False,0.0,7,3
25.462500000000002,88.08333333333333,10.9,1.3499999999999999,7.091666666666666,27.34166666666667,0.3269166666666667,1607.7,Maize,0.4,0.5399999999999999,-10.360000000000001,False,0.0,7,3
28.141666666666666,79.95833333333333,1.8,4.6899999999999995,3.545833333333333,27.11666666666667,0.33045833333333335,6161.4,Maize,0.4,1.876,0.07599999999999985,False,0.0,7,3
28.870833333333334,79.33333333333333,0.0,4.87,5.470833333333334,27.166666666666668,0.331,6196.1,Maize,0.4,1.9480000000000002,1.9480000000000002,False,0.0,7,3
29.075,78.5,0.7999999999999999,4.67,6.729166666666667,27.316666666666666,0.33033333333333337,5891.5,Maize,0.4,1.868,1.068,False,0.0,7,3
29.22083333333333,79.625,0.2,4.7299999999999995,6.779166666666666,27.4375,0.3292083333333334,6013.5,Maize,0.4,1.892,1.692,False,0.0,7,3
29.454166666666666,79.33333333333333,2.7,4.92,8.775,27.579166666666666,0.3282916666666667,6081.7,Maize,0.4,1.968,-0.7320000000000002,False,0.0,7,3
28.3875,87.04166666666667,8.8,3.28,7.1375,27.7,0.32616666666666666,4182.8,Maize,0.4,1.312,-7.488,False,0.0,7,3
28.933333333333334,83.75,0.39999999999999997,4.53,7.595833333333334,27.7,0.32379166666666664,5815.5,Maize,0.4,1.8120000000000003,1.4120000000000004,False,0.0,7,3
28.541666666666668,84.0,1.9000000000000001,4.1,10.854166666666666,27.758333333333336,0.3233333333333333,5193.4,Maize,0.4,1.64,-0.26000000000000023,False,0.0,7,3
28.329166666666666,83.66666666666667,1.6,2.94,7.970833333333334,27.8,0.32383333333333336,3535.2,Maize,0.4,1.176,-0.42400000000000015,False,0.0,7,3
30.429166666666664,76.25,0.4,4.76,5.016666666666667,27.84583333333333,0.32466666666666666,5819.5,Maize,0.4,1.904,1.504,False,0.0,7,3
30.629166666666666,77.91666666666667,3.6999999999999997,4.68,7.941666666666666,28.02916666666667,0.32433333333333336,5618.7,Maize,0.4,1.8719999999999999,-1.8279999999999998,False,0.0,7,3
28.166666666666668,82.33333333333333,14.4,2.62,10.008333333333333,28.100000000000005,0.32458333333333333,2770.3,Maize,0.4,1.048,-13.352,False,0.0,7,3
29.4875,76.70833333333333,1.4000000000000001,4.26,6.891666666666667,28.100000000000005,0.32695833333333335,5152.8,Maize,0.4,1.704,0.3039999999999998,False,0.0,7,3
29.3625,78.95833333333333,0.6,4.12,7.041666666666667,28.137500000000003,0.32708333333333334,5144.4,Maize,0.4,1.6480000000000001,1.048,False,0.0,7,3
29.270833333333332,81.45833333333333,13.700000000000001,3.92,5.154166666666667,28.229166666666668,0.32683333333333336,4915.0,Maize,0.4,1.568,-12.132000000000001,False,0.0,7,3
27.224999999999998,85.625,2.9,2.83,8.0875,28.229166666666668,0.3265,3495.1,Maize,0.4,1.1320000000000001,-1.7679999999999998,False,0.0,7,3
28.15416666666667,83.29166666666667,2.8,3.5,5.0125,28.2,0.32579166666666665,4503.0,Maize,0.4,1.4000000000000001,-1.3999999999999997,False,0.0,7,3
27.675,85.75,2.7,3.81,5.883333333333333,28.2,0.32683333333333336,4969.8,Maize,0.4,1.524,-1.1760000000000002,False,0.0,7,3
27.90833333333333,82.70833333333333,3.6999999999999997,4.25,4.170833333333333,28.150000000000002,0.326375,5577.7,Maize,0.4,1.7000000000000002,-1.9999999999999996,False,0.0,7,3
29.183333333333334,78.70833333333333,0.30000000000000004,4.69,3.475,28.100000000000005,0.32545833333333335,6041.5,Maize,0.4,1.8760000000000003,1.5760000000000003,False,0.0,7,3
29.254166666666666,79.79166666666667,1.4,4.6499999999999995,5.654166666666666,28.2,0.32283333333333336,5867.5,Maize,0.4,1.8599999999999999,0.45999999999999996,False,0.0,7,3
30.070833333333336,80.0,0.2,4.82,5.404166666666666,28.3125,0.32054166666666667,6031.4,Maize,0.4,1.9280000000000002,1.7280000000000002,False,0.0,8,3
29.275000000000002,83.125,4.5,4.72,7.079166666666667,28.4375,0.3187083333333333,5957.3,Maize,0.4,1.888,-2.612,False,0.0,8,3
29.412499999999998,82.33333333333333,1.9,4.56,5.408333333333334,28.5,0.31783333333333336,5810.9,Maize,0.4,1.8239999999999998,-0.07600000000000007,False,0.0,8,3
28.662499999999998,84.79166666666667,1.4,4.38,5.416666666666667,28.504166666666666,0.3172916666666667,5780.7,Maize,0.4,1.752,0.3520000000000001,False,0.0,8,3
