date,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),ET₀ (mm),wind_speed_10m (km/h),soil_temperature_28_to_100cm (°C),soil_moisture_28_to_100cm (m³/m³),shortwave_radiation_instant (W/m²),crop,Kc,ETc (mm)
2022-03-09,19.170833333333334,63.125,0.0,4.16,9.670833333333333,16.9375,0.2778333333333334,5421.3,Wheat,0.7,2.912
2022-03-10,19.17083333333333,74.33333333333333,0.0,3.77,7.345833333333334,17.14166666666667,0.27575,5441.3,Wheat,0.7,2.639
2022-03-11,19.641666666666666,72.875,0.0,3.94,7.716666666666666,17.349999999999998,0.2737916666666667,5481.4,Wheat,0.7,2.758
2022-03-12,20.724999999999998,71.54166666666667,0.0,4.03,7.6375,17.570833333333333,0.2731666666666667,5526.1,Wheat,0.7,2.821
2022-03-13,21.599999999999998,72.66666666666667,0.0,4.0200000000000005,6.3374999999999995,17.837500000000002,0.2709166666666667,5482.5,Wheat,0.7,2.814
2022-03-14,22.662499999999998,72.66666666666667,0.0,4.03,5.3374999999999995,18.150000000000002,0.26737500000000003,5498.1,Wheat,0.7,2.821
2022-03-15,23.95,74.54166666666667,0.0,4.25,6.545833333333333,18.5125,0.26608333333333334,5510.4,Wheat,0.7,2.9749999999999996
2022-03-16,23.708333333333332,73.875,0.0,4.38,7.345833333333334,18.875,0.26737500000000003,5638.3,Wheat,0.7,3.066
2022-03-17,25.491666666666664,69.04166666666667,0.0,4.76,10.570833333333333,19.2,0.27229166666666665,5687.9,Wheat,0.7,3.332
2022-03-18,26.958333333333332,65.125,0.0,4.88,9.704166666666667,19.587500000000002,0.27275,5578.3,Wheat,0.7,3.416
2022-03-19,26.625,64.41666666666667,0.0,4.7,7.195833333333333,20.05,0.27125000000000005,5620.1,Wheat,0.7,3.29
2022-03-20,25.429166666666664,54.625,1.0,4.91,8.041666666666666,20.462500000000002,0.27025000000000005,5495.2,Wheat,0.7,3.437
2022-03-21,24.358333333333334,60.625,0.0,4.890000000000001,7.6125,20.79583333333333,0.2730416666666667,5854.4,Wheat,0.7,3.423
2022-03-22,23.954166666666666,56.208333333333336,0.0,5.22,8.320833333333333,21.025000000000002,0.2737083333333334,6049.7,Wheat,0.7,3.6539999999999995
2022-03-23,24.90416666666667,55.541666666666664,0.0,4.94,7.0,21.120833333333334,0.27745833333333336,5934.1,Wheat,0.7,3.458
2022-03-24,24.070833333333336,48.666666666666664,0.0,4.98,7.25,21.224999999999998,0.284,5621.7,Wheat,0.7,3.486
2022-03-25,23.233333333333334,48.791666666666664,0.0,5.4799999999999995,9.016666666666667,21.3,0.2867083333333333,6096.3,Wheat,0.7,3.8359999999999994
2022-03-26,22.974999999999998,57.833333333333336,0.0,4.79,5.991666666666667,21.3,0.2885833333333333,6183.7,Wheat,0.7,3.3529999999999998
2022-03-27,24.162499999999998,57.75,0.0,5.08,6.704166666666667,21.3,0.28620833333333334,6174.0,Wheat,0.7,3.5559999999999996
2022-03-28,26.191666666666666,48.583333333333336,0.0,5.33,6.304166666666667,21.34583333333333,0.282625,6154.8,Wheat,0.7,3.731
2022-03-29,26.141666666666666,50.875,0.0,5.83,9.129166666666666,21.53333333333333,0.28654166666666664,6263.4,Wheat,0.7,4.0809999999999995
2022-03-30,26.412499999999998,46.208333333333336,0.0,6.06,9.137500000000001,21.695833333333336,0.2867083333333333,6319.0,Wheat,0.7,4.241999999999999
2022-03-31,25.583333333333332,44.916666666666664,0.0,5.79,7.8,21.891666666666666,0.28704166666666664,6199.5,Wheat,0.7,4.053
2022-04-01,24.191666666666666,53.458333333333336,0.0,5.14,5.895833333333333,22.020833333333332,0.2855,6355.900000000001,Wheat,0.7,3.5979999999999994
2022-04-02,26.358333333333334,37.375,0.0,6.49,9.041666666666666,22.05,0.282125,6356.7,Wheat,0.7,4.543
2022-04-03,26.662499999999998,31.416666666666668,0.0,6.98,10.579166666666667,22.166666666666668,0.28020833333333334,6386.5,Wheat,0.7,4.886
2022-04-04,25.650000000000002,36.458333333333336,0.0,6.09,7.375,22.337500000000002,0.27775,6482.5,Wheat,0.7,4.263
2022-04-05,25.8,40.416666666666664,0.0,5.83,6.629166666666666,22.4375,0.27366666666666667,6427.4,Wheat,0.7,4.0809999999999995
2022-04-06,26.583333333333332,43.291666666666664,0.0,5.96,7.0625,22.537499999999998,0.2707916666666667,6448.1,Wheat,0.7,4.172
2022-04-07,27.7625,41.791666666666664,0.0,6.1,6.825,22.662499999999998,0.26787500000000003,6467.9,Wheat,0.7,4.27
2022-04-08,28.5,38.708333333333336,0.0,6.5,8.275,22.8625,0.264875,6463.5,Wheat,0.7,4.55
2022-04-09,28.75,36.166666666666664,0.1,6.4,7.529166666666666,23.09583333333333,0.261875,6387.1,Wheat,0.7,4.4799999999999995
2022-04-10,28.579166666666666,36.458333333333336,0.0,6.72,8.345833333333333,23.366666666666664,0.258875,6533.0,Wheat,0.7,4.704
2022-04-11,30.224999999999998,33.791666666666664,0.0,6.82,8.420833333333333,23.616666666666664,0.255875,6360.1,Wheat,0.35,2.387
2022-04-12,31.2375,30.083333333333332,0.0,7.64,12.983333333333334,23.90416666666667,0.25295833333333334,5562.0,Wheat,0.35,2.674
2022-04-13,29.974999999999998,31.833333333333332,0.2,8.05,14.754166666666668,24.191666666666666,0.2505833333333333,6003.1,Wheat,0.35,2.8175
2022-04-14,29.179166666666664,27.583333333333332,0.1,6.8,9.125,24.433333333333334,0.24787499999999998,6094.7,Wheat,0.35,2.38
